#Distance(A)    Macroscopic-Average    Planar-Average
 76.8515            -3.23403            -1.78659
 76.9522            -3.26143            -0.98392
 77.0530            -3.28894            -0.19929
 77.1537            -3.31489             0.23059
 77.2544            -3.33795             0.08525
 77.3551            -3.35723            -0.70853
 77.4558            -3.37233            -1.96029
 77.5566            -3.38328            -3.37767
 77.6573            -3.39045            -4.83068
 77.7580            -3.39453            -6.19414
 77.8587            -3.39638            -7.34573
 77.9595            -3.39691            -8.20413
 78.0602            -3.39690            -8.70830
 78.1609            -3.39686            -8.83132
 78.2616            -3.39692            -8.56180
 78.3624            -3.39680            -7.92025
 78.4631            -3.39587            -6.94200
 78.5638            -3.39328            -5.70058
 78.6645            -3.38811            -4.28566
 78.7652            -3.37957            -2.83553
 78.8660            -3.36707            -1.45691
 78.9667            -3.35035            -0.33998
 79.0674            -3.32955             0.21513
 79.1681            -3.30525             0.12509
 79.2689            -3.27851            -0.47158
 79.3696            -3.25079            -1.30528
 79.4703            -3.22391            -2.03354
 79.5710            -3.19977            -2.49680
 79.6717            -3.18018            -2.73683
 79.7725            -3.16665            -2.81401
 79.8732            -3.16020            -2.82428
 79.9739            -3.16132            -2.82309
 80.0746            -3.16992            -2.80269
 80.1754            -3.18536            -2.68629
 80.2761            -3.20646            -2.38742
 80.3768            -3.23163            -1.84714
 80.4775            -3.25898            -1.05883
 80.5783            -3.28663            -0.25805
 80.6790            -3.31284             0.21351
 80.7797            -3.33625             0.12441
 80.8804            -3.35595            -0.61594
 80.9811            -3.37150            -1.84070
 81.0819            -3.38286            -3.25084
 81.1826            -3.39041            -4.70465
